,stat,precision,recall,f1-score,support,model_accuracy,model
2,accuracy,0.854166667,0.854166667,0.854166667,0.854166667,0.854166667,sp_06_thresh_merge_85
3,macro avg,0.870422347,0.856608265,0.853088985,432,0.854166667,sp_06_thresh_merge_85
4,weighted avg,0.872357547,0.854166667,0.85279772,432,0.854166667,sp_06_thresh_merge_85
0,0,0.653968254,0.976303318,0.783269962,211,0.736111111,sp_06_thresh_merge_90
1,1,0.957264957,0.50678733,0.662721893,221,0.736111111,sp_06_thresh_merge_90
2,accuracy,0.736111111,0.736111111,0.736111111,0.736111111,0.736111111,sp_06_thresh_merge_90
3,macro avg,0.805616606,0.741545324,0.722995928,432,0.736111111,sp_06_thresh_merge_90
4,weighted avg,0.809126984,0.736111111,0.721600695,432,0.736111111,sp_06_thresh_merge_90
0,0,0.571823204,0.981042654,0.722513089,211,0.631944444,sp_06_thresh_merge_95
1,1,0.942857143,0.298642534,0.453608247,221,0.631944444,sp_06_thresh_merge_95
2,accuracy,0.631944444,0.631944444,0.631944444,0.631944444,0.631944444,sp_06_thresh_merge_95
3,macro avg,0.757340174,0.639842594,0.588060668,432,0.631944444,sp_06_thresh_merge_95
4,weighted avg,0.761634548,0.631944444,0.584948344,432,0.631944444,sp_06_thresh_merge_95
0,0,0.942528736,0.777251185,0.851948052,211,0.868055556,sp_075_thresh_merge_50
1,1,0.817829457,0.954751131,0.881002088,221,0.868055556,sp_075_thresh_merge_50
2,accuracy,0.868055556,0.868055556,0.868055556,0.868055556,0.868055556,sp_075_thresh_merge_50
3,macro avg,0.880179096,0.866001158,0.86647507,432,0.868055556,sp_075_thresh_merge_50
4,weighted avg,0.878735818,0.868055556,0.866811343,432,0.868055556,sp_075_thresh_merge_50
0,0,0.897959184,0.834123223,0.864864865,211,0.872685185,sp_075_thresh_merge_55
1,1,0.851694915,0.909502262,0.879649891,221,0.872685185,sp_075_thresh_merge_55
2,accuracy,0.872685185,0.872685185,0.872685185,0.872685185,0.872685185,sp_075_thresh_merge_55
3,macro avg,0.874827049,0.871812743,0.872257378,432,0.872685185,sp_075_thresh_merge_55
4,weighted avg,0.874291583,0.872685185,0.872428501,432,0.872685185,sp_075_thresh_merge_55
0,0,0.862385321,0.890995261,0.876456876,211,0.877314815,sp_075_thresh_merge_60
1,1,0.892523364,0.864253394,0.87816092,221,0.877314815,sp_075_thresh_merge_60
2,accuracy,0.877314815,0.877314815,0.877314815,0.877314815,0.877314815,sp_075_thresh_merge_60
3,macro avg,0.877454343,0.877624327,0.877308898,432,0.877314815,sp_075_thresh_merge_60
4,weighted avg,0.877803163,0.877314815,0.877328621,432,0.877314815,sp_075_thresh_merge_60
0,0,0.81512605,0.91943128,0.864142539,211,0.858796296,sp_075_thresh_merge_65
1,1,0.912371134,0.800904977,0.853012048,221,0.858796296,sp_075_thresh_merge_65
2,accuracy,0.858796296,0.858796296,0.858796296,0.858796296,0.858796296,sp_075_thresh_merge_65
3,macro avg,0.863748592,0.860168128,0.858577294,432,0.858796296,sp_075_thresh_merge_65
4,weighted avg,0.864874114,0.858796296,0.858448468,432,0.858796296,sp_075_thresh_merge_65
0,0,0.773076923,0.952606635,0.853503185,211,0.840277778,sp_075_thresh_merge_70
1,1,0.941860465,0.733031674,0.824427481,221,0.840277778,sp_075_thresh_merge_70
2,accuracy,0.840277778,0.840277778,0.840277778,0.840277778,0.840277778,sp_075_thresh_merge_70
3,macro avg,0.857468694,0.842819155,0.838965333,432,0.840277778,sp_075_thresh_merge_70
4,weighted avg,0.859422207,0.840277778,0.838628808,432,0.840277778,sp_075_thresh_merge_70
0,0,0.699324324,0.981042654,0.816568047,211,0.784722222,sp_075_thresh_merge_75
1,1,0.970588235,0.597285068,0.739495798,221,0.784722222,sp_075_thresh_merge_75
2,accuracy,0.784722222,0.784722222,0.784722222,0.784722222,0.784722222,sp_075_thresh_merge_75
3,macro avg,0.83495628,0.789163861,0.778031923,432,0.784722222,sp_075_thresh_merge_75
4,weighted avg,0.838095908,0.784722222,0.777139883,432,0.784722222,sp_075_thresh_merge_75
0,0,0.641975309,0.985781991,0.777570093,211,0.724537037,sp_075_thresh_merge_80
1,1,0.972222222,0.475113122,0.638297872,221,0.724537037,sp_075_thresh_merge_80
2,accuracy,0.724537037,0.724537037,0.724537037,0.724537037,0.724537037,sp_075_thresh_merge_80
3,macro avg,0.807098765,0.730447556,0.707933983,432,0.724537037,sp_075_thresh_merge_80
4,weighted avg,0.810921068,0.724537037,0.706322036,432,0.724537037,sp_075_thresh_merge_80
0,0,0.585434174,0.990521327,0.735915493,211,0.652777778,sp_075_thresh_merge_85
1,1,0.973333333,0.330316742,0.493243243,221,0.652777778,sp_075_thresh_merge_85
2,accuracy,0.652777778,0.652777778,0.652777778,0.652777778,0.652777778,sp_075_thresh_merge_85
